indicator,Goal
1.1.1,1
1.2.1,1
1.2.2,1
1.3.1,1
1.4.1,1
1.4.2,1
1.5.1,1
1.5.2,1
1.5.3,1
1.5.4,1
1.a.1,1
1.a.2,1
1.b.1,1
10.1.1,10
10.2.1,10
10.3.1,10
10.4.1,10
10.6.1,10
10.7.1,10
10.7.4,10
10.a.1,10
10.b.1,10
10.c.1,10
11.1.1,11
11.2.1,11
11.3.1,11
11.3.2,11
11.4.1,11
11.5.1,11
11.5.2,11
11.6.1,11
11.7.2,11
11.a.1,11
11.b.1,11
11.b.2,11
12.1.1,12
12.2.1,12
12.2.2,12
12.3.1,12
12.4.1,12
12.4.2,12
12.8.1,12
12.a.1,12
12.b.1,12
12.c.1,12
13.1.1,13
13.1.2,13
13.1.3,13
13.2.1,13
13.2.2,13
13.3.1,13
13.a.1,13
13.b.1,13
14.4.1,14
14.5.1,14
14.6.1,14
14.7.1,14
14.b.1,14
14.c.1,14
15.1.1,15
15.1.2,15
15.2.1,15
15.3.1,15
15.4.1,15
15.4.2,15
15.6.1,15
15.7.1,15
15.9.1,15
15.a.1,15
15.b.1,15
15.c.1,15
16.1.1,16
16.1.2,16
16.1.3,16
16.10.1,16
16.10.2,16
16.2.1,16
16.2.3,16
16.3.1,16
16.3.3,16
16.4.1,16
16.5.2,16
16.6.1,16
16.6.2,16
16.7.2,16
16.8.1,16
16.9.1,16
16.a.1,16
16.b.1,16
17.1.1,17
17.1.2,17
17.10.1,17
17.11.1,17
17.12.1,17
17.14.1,17
17.15.1,17
17.16.1,17
17.18.2,17
17.18.3,17
17.19.1,17
17.19.2,17
17.2.1,17
17.3.2,17
17.4.1,17
17.5.1,17
17.8.1,17
17.9.1,17
2.2.1,2
2.2.2,2
2.2.3,2
2.3.1,2
2.3.2,2
2.4.1,2
2.5.1,2
2.5.2,2
2.a.1,2
2.a.2,2
2.b.1,2
2.c.1,2
3.1.1,3
3.2.1,3
3.2.2,3
3.3.1,3
3.3.2,3
3.3.3,3
3.4.1,3
3.4.2,3
3.6.1,3
3.7.2,3
3.8.1,3
3.8.2,3
3.9.1,3
3.9.2,3
3.9.3,3
3.b.2,3
4.1.1,4
4.1.2,4
4.2.1,4
4.2.2,4
4.3.1,4
4.6.1,4
4.7.1,4
4.a.1,4
4.b.1,4
4.c.1,4
5.2.1,5
5.2.2,5
5.3.1,5
5.3.2,5
5.4.1,5
5.5.2,5
5.6.1,5
5.6.2,5
5.a.1,5
5.a.2,5
5.b.1,5
5.c.1,5
6.1.1,6
6.2.1,6
6.3.2,6
6.4.1,6
6.4.2,6
6.5.2,6
6.6.1,6
6.a.1,6
6.b.1,6
7.1.1,7
7.2.1,7
7.3.1,7
7.a.1,7
7.b.1,7
8.1.1,8
8.2.1,8
8.3.1,8
8.4.1,8
8.4.2,8
8.5.1,8
8.5.2,8
8.6.1,8
8.7.1,8
8.8.1,8
8.8.2,8
8.9.1,8
8.a.1,8
8.b.1,8
9.1.1,9
9.2.1,9
9.2.2,9
9.3.1,9
9.3.2,9
9.4.1,9
9.5.1,9
9.5.2,9
9.a.1,9
9.b.1,9
9.c.1,9