UniqueID,BN_CAB_XOKA_GD_ZS                         ,BN_KLT_PTXL_CD                         ,BX_KLT_DINV_WD_GD_ZS                         ,DT_DOD_DECT_GN_ZS                         ,FB_BNK_CAPA_ZS                         ,FI_RES_TOTL_MO                         ,FM_LBL_BMNY_IR_ZS                         ,FM_LBL_BMNY_ZG                         ,FP_CPI_TOTL_ZG                         ,GC_TAX_TOTL_GD_ZS                         ,NE_CON_GOVT_KD_ZG                         ,NE_EXP_GNFS_KD_ZG                         ,NE_GDI_TOTL_KD_ZG                         ,NE_IMP_GNFS_KD_ZG                         ,NY_GDP_MKTP_KD_ZG                         ,TG_VAL_TOTL_GD_ZS                         
BN_CAB_XOKA_GD_ZS                         ,1.0,-0.33627230528672103,-0.9521093335231099,0.3573317154558658,0.5938448729267235,0.9387250232896072,-0.7665183276215808,0.5288983817082138,-0.08527447342721281,-0.7960656951158429,-0.43993420651743875,-0.871902234871089,-0.1729189672578264,-0.624898523350194,-0.6969765293378896,-0.9435581269454801
BN_KLT_PTXL_CD                         ,-0.33627230528672103,1.0,-0.22101897177984367,-0.39677996651614483,0.20762887748665138,-0.49851178388972484,0.5545376789227113,-0.39119479377273836,-0.27622119688841296,-0.32309325303376624,0.1763384154477776,0.2327617890814485,0.34619328303614877,0.47283806543125595,0.5012239657627275,0.13740142696400232
BX_KLT_DINV_WD_GD_ZS                         ,-0.9521093335231099,-0.22101897177984367,1.0,-0.2722073121122365,-0.7222454254619942,-0.7964352839612017,0.4511449511658497,0.456119774005899,-0.11811447718936326,0.8321772195532756,0.49068765058159586,0.6893009185791386,-0.37217518073382594,0.2070911737066232,0.317034842803702,0.9734577370484393
DT_DOD_DECT_GN_ZS                         ,0.3573317154558658,-0.39677996651614483,-0.2722073121122365,1.0,0.4956639532249203,0.4073051816797381,-0.20705678874938857,-0.29449665853102286,-0.03851266374245421,-0.34599209209969173,-0.29629299046054786,0.21958625637945428,0.19110834246759512,0.3947153925979613,0.5846359925425094,-0.43933262233752624
FB_BNK_CAPA_ZS                         ,0.5938448729267235,0.20762887748665138,-0.7222454254619942,0.4956639532249203,1.0,0.5166107422297223,-0.2419037661915453,-0.3927537852616577,0.2718869795331731,-0.5009451937200489,-0.3116274199046399,-0.10516505109110531,0.0023913411193531467,-0.06996768779773027,-0.016730795998386574,-0.7275362184813806
FI_RES_TOTL_MO                         ,0.9387250232896072,-0.49851178388972484,-0.7964352839612017,0.4073051816797381,0.5166107422297223,1.0,-0.8855044435967488,0.7366833154236585,-0.08504342128824226,-0.5369642242770035,-0.20083265542124457,-0.8747428163917494,-0.25310163934746427,-0.6897655764000286,-0.8071249765034246,-0.8042803515626993
FM_LBL_BMNY_IR_ZS                         ,-0.7665183276215808,0.5545376789227113,0.4511449511658497,-0.20705678874938857,-0.2419037661915453,-0.8855044435967488,1.0,-0.5702603036194365,-0.20876314682127198,0.06834005365635323,-0.10478539860053461,0.7820575479080941,-0.04726069487639431,0.41765022574813915,0.6258900871996335,0.6331763234894178
FM_LBL_BMNY_ZG                         ,0.5288983817082138,-0.39119479377273836,0.456119774005899,-0.29449665853102286,-0.3927537852616577,0.7366833154236585,-0.5702603036194365,1.0,-0.3942918016359785,0.3954879764289698,0.11933254771792942,-0.6579437757737123,-0.564198652730384,-0.7724649389813074,-0.859284793309304,-0.2797862252198227
FP_CPI_TOTL_ZG                         ,-0.08527447342721281,-0.27622119688841296,-0.11811447718936326,-0.03851266374245421,0.2718869795331731,-0.08504342128824226,-0.20876314682127198,-0.3942918016359785,1.0,0.35883497359690275,0.007757819534464382,0.18371560782498625,0.09485644646790949,0.13119198434180307,0.0679734738450651,0.020512544864432766
GC_TAX_TOTL_GD_ZS                         ,-0.7960656951158429,-0.32309325303376624,0.8321772195532756,-0.34599209209969173,-0.5009451937200489,-0.5369642242770035,0.06834005365635323,0.3954879764289698,0.35883497359690275,1.0,0.6717801662200967,0.5283201576912764,-0.24287986709462467,0.14819713901280848,-0.017186514026690528,0.8272218743007398
NE_CON_GOVT_KD_ZG                         ,-0.43993420651743875,0.1763384154477776,0.49068765058159586,-0.29629299046054786,-0.3116274199046399,-0.20083265542124457,-0.10478539860053461,0.11933254771792942,0.007757819534464382,0.6717801662200967,1.0,0.1496034503488229,0.37682192970961087,0.3838480385970602,0.21708370537403915,0.5055895093300421
NE_EXP_GNFS_KD_ZG                         ,-0.871902234871089,0.2327617890814485,0.6893009185791386,0.21958625637945428,-0.10516505109110531,-0.8747428163917494,0.7820575479080941,-0.6579437757737123,0.18371560782498625,0.5283201576912764,0.1496034503488229,1.0,0.11009896795513767,0.6284877204753812,0.7632062865374488,0.7203154537446022
NE_GDI_TOTL_KD_ZG                         ,-0.1729189672578264,0.34619328303614877,-0.37217518073382594,0.19110834246759512,0.0023913411193531467,-0.25310163934746427,-0.04726069487639431,-0.564198652730384,0.09485644646790949,-0.24287986709462467,0.37682192970961087,0.11009896795513767,1.0,0.8222251065575483,0.684117031549326,0.012332765070118627
NE_IMP_GNFS_KD_ZG                         ,-0.624898523350194,0.47283806543125595,0.2070911737066232,0.3947153925979613,-0.06996768779773027,-0.6897655764000286,0.41765022574813915,-0.7724649389813074,0.13119198434180307,0.14819713901280848,0.3838480385970602,0.6284877204753812,0.8222251065575483,1.0,0.9542287283012718,0.41416785640790316
NY_GDP_MKTP_KD_ZG                         ,-0.6969765293378896,0.5012239657627275,0.317034842803702,0.5846359925425094,-0.016730795998386574,-0.8071249765034246,0.6258900871996335,-0.859284793309304,0.0679734738450651,-0.017186514026690528,0.21708370537403915,0.7632062865374488,0.684117031549326,0.9542287283012718,1.0,0.4666981414242031
TG_VAL_TOTL_GD_ZS                         ,-0.9435581269454801,0.13740142696400232,0.9734577370484393,-0.43933262233752624,-0.7275362184813806,-0.8042803515626993,0.6331763234894178,-0.2797862252198227,0.020512544864432766,0.8272218743007398,0.5055895093300421,0.7203154537446022,0.012332765070118627,0.41416785640790316,0.4666981414242031,1.0
