UniqueID,TimePeriod,SH_IHR_CAPS                        IHR01 ,SH_IHR_CAPS                        IHR02 ,SH_IHR_CAPS                        IHR03 ,SH_IHR_CAPS                        IHR04 ,SH_IHR_CAPS                        IHR05 ,SH_IHR_CAPS                        IHR06 ,SH_IHR_CAPS                        IHR07 ,SH_IHR_CAPS                        IHR08 ,SH_IHR_CAPS                        IHR09 ,SH_IHR_CAPS                        IHR10 ,SH_IHR_CAPS                        IHR11 ,SH_IHR_CAPS                        IHR12 ,SH_IHR_CAPS                        IHR13 ,SH_IHR_CAPS                        SPAR01 ,SH_IHR_CAPS                        SPAR02 ,SH_IHR_CAPS                        SPAR03 ,SH_IHR_CAPS                        SPAR04 ,SH_IHR_CAPS                        SPAR05 ,SH_IHR_CAPS                        SPAR06 ,SH_IHR_CAPS                        SPAR07 ,SH_IHR_CAPS                        SPAR08 ,SH_IHR_CAPS                        SPAR09 ,SH_IHR_CAPS                        SPAR10 ,SH_IHR_CAPS                        SPAR11 ,SH_IHR_CAPS                        SPAR12 ,SH_IHR_CAPS                        SPAR13 
TimePeriod,1.0,-0.6091300695938505,-0.6649283429698505,-0.26490379124494434,-0.018471304968026733,0.17654696590094995,-0.7515404371675025,-0.4225771273642583,-0.5154784559308921,-0.25805650613070585,0.4472135954999578,-0.1586235504205566,-0.6142850083702607,0.6923962902669646,0.8660254037844387,0.8660254037844388,-0.8660254037844386,1.0,,0.8660254037844389,-0.8660254037844388,0.7136791021047099,0.8660254037844388,-0.8660254037844386,,-0.8660254037844386,-0.8660254037844386
SH_IHR_CAPS                        IHR01 ,-0.6091300695938505,1.0,0.31728440080980813,-0.031731898076637115,0.04094086599851444,-0.2889326948383622,0.5824178026876102,0.8324248687432076,0.05679677012412096,-0.2469341406961121,0.23099199438467705,-0.3904891162076138,0.3993210741143299,-0.3722422987409663,,,,,,,,,,,,,
SH_IHR_CAPS                        IHR02 ,-0.6649283429698505,0.31728440080980813,1.0,0.5010462659786611,0.6399643530344966,0.4743847326994613,0.9005170275485889,0.4703419608433962,0.48262493523577166,0.7192565770808169,-0.06464456413247292,0.7271145793298712,0.9766805417785864,-0.2283269938401771,,,,,,,,,,,,,
SH_IHR_CAPS                        IHR03 ,-0.26490379124494434,-0.031731898076637115,0.5010462659786611,1.0,0.7734645498617487,0.7138074613922316,0.518512887985242,0.41484493160752645,0.8024607210468607,0.5837505216349378,0.24390589370869206,0.3477432014881461,0.5142564784817255,0.4112997894263349,,,,,,,,,,,,,
SH_IHR_CAPS                        IHR04 ,-0.018471304968026733,0.04094086599851444,0.6399643530344966,0.7734645498617487,1.0,0.9011738376774404,0.5710493544580264,0.5463885694440419,0.4203799751990915,0.6084338279255118,0.5920110074301242,0.5352008309760407,0.7098268564814655,0.5730819901912566,,,,,,,,,,,,,
SH_IHR_CAPS                        IHR05 ,0.17654696590094995,-0.2889326948383622,0.4743847326994613,0.7138074613922316,0.9011738376774404,1.0,0.25338309415444465,0.19844852778949554,0.23643756574710742,0.4996313886325236,0.5210977424081372,0.6299915757173744,0.5498378199715624,0.720790508135757,,,,,,,,,,,,,
SH_IHR_CAPS                        IHR06 ,-0.7515404371675025,0.5824178026876102,0.9005170275485889,0.518512887985242,0.5710493544580264,0.25338309415444465,1.0,0.7197698396192053,0.6316622408075899,0.6309217607479083,1.4236230984219556e-16,0.4011813766038951,0.8775059818365113,-0.3159225573483138,,,,,,,,,,,,,
SH_IHR_CAPS                        IHR07 ,-0.4225771273642583,0.8324248687432076,0.4703419608433962,0.41484493160752645,0.5463885694440419,0.19844852778949554,0.7197698396192053,1.0,0.32033736047858785,0.07730039892745261,0.566946709513841,-0.17940565495536784,0.5757824118707754,0.07174998191426303,,,,,,,,,,,,,
SH_IHR_CAPS                        IHR08 ,-0.5154784559308921,0.05679677012412096,0.48262493523577166,0.8024607210468607,0.4203799751990915,0.23643756574710742,0.6316622408075899,0.32033736047858785,1.0,0.6951576562669379,-0.2227801006147594,0.24273111308821801,0.3863276363073429,-0.10865258097106133,,,,,,,,,,,,,
SH_IHR_CAPS                        IHR09 ,-0.25805650613070585,-0.2469341406961121,0.7192565770808169,0.5837505216349378,0.6084338279255118,0.4996313886325236,0.6309217607479083,0.07730039892745261,0.6951576562669379,1.0,-0.21182183294412812,0.7929724870845285,0.6014388654988209,-0.0473956735591768,,,,,,,,,,,,,
SH_IHR_CAPS                        IHR10 ,0.4472135954999578,0.23099199438467705,-0.06464456413247292,0.24390589370869206,0.5920110074301242,0.5210977424081372,1.4236230984219556e-16,0.566946709513841,-0.2227801006147594,-0.21182183294412812,1.0,-0.20864296563101778,0.11870470683857452,0.7889147375315202,,,,,,,,,,,,,
SH_IHR_CAPS                        IHR11 ,-0.1586235504205566,-0.3904891162076138,0.7271145793298712,0.3477432014881461,0.5352008309760407,0.6299915757173744,0.4011813766038951,-0.17940565495536784,0.24273111308821801,0.7929724870845285,-0.20864296563101778,1.0,0.6587995950396744,0.01728315859920225,,,,,,,,,,,,,
SH_IHR_CAPS                        IHR12 ,-0.6142850083702607,0.3993210741143299,0.9766805417785864,0.5142564784817255,0.7098268564814655,0.5498378199715624,0.8775059818365113,0.5757824118707754,0.3863276363073429,0.6014388654988209,0.11870470683857452,0.6587995950396744,1.0,-0.0998910854819305,,,,,,,,,,,,,
SH_IHR_CAPS                        IHR13 ,0.6923962902669646,-0.3722422987409663,-0.2283269938401771,0.4112997894263349,0.5730819901912566,0.720790508135757,-0.3159225573483138,0.07174998191426303,-0.10865258097106133,-0.0473956735591768,0.7889147375315202,0.01728315859920225,-0.0998910854819305,1.0,,,,,,,,,,,,,
SH_IHR_CAPS                        SPAR01 ,0.8660254037844387,,,,,,,,,,,,,,1.0,0.5000000000000002,-0.49999999999999983,0.8660254037844386,,1.0000000000000004,-0.5000000000000002,0.9683006310306368,1.0000000000000002,-0.49999999999999983,,-0.49999999999999983,-0.5
SH_IHR_CAPS                        SPAR02 ,0.8660254037844388,,,,,,,,,,,,,,0.5000000000000002,1.0,-0.9999999999999998,0.8660254037844385,,0.5000000000000001,-1.0,0.26782783411485706,0.5,-0.9999999999999998,,-0.9999999999999998,-0.9999999999999999
SH_IHR_CAPS                        SPAR03 ,-0.8660254037844386,,,,,,,,,,,,,,-0.49999999999999983,-0.9999999999999998,1.0,-0.8660254037844387,,-0.5000000000000002,1.0000000000000002,-0.2678278341148571,-0.5000000000000001,1.0,,1.0,1.0000000000000002
SH_IHR_CAPS                        SPAR04 ,1.0,,,,,,,,,,,,,,0.8660254037844386,0.8660254037844385,-0.8660254037844387,1.0,,0.8660254037844389,-0.8660254037844387,0.7136791021047099,0.8660254037844388,-0.8660254037844386,,-0.8660254037844386,-0.8660254037844387
SH_IHR_CAPS                        SPAR05 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH_IHR_CAPS                        SPAR06 ,0.8660254037844389,,,,,,,,,,,,,,1.0000000000000004,0.5000000000000001,-0.5000000000000002,0.8660254037844389,,1.0,-0.5000000000000001,0.9683006310306366,0.9999999999999999,-0.49999999999999967,,-0.49999999999999967,-0.4999999999999998
SH_IHR_CAPS                        SPAR07 ,-0.8660254037844388,,,,,,,,,,,,,,-0.5000000000000002,-1.0,1.0000000000000002,-0.8660254037844387,,-0.5000000000000001,1.0,-0.26782783411485706,-0.5,0.9999999999999998,,0.9999999999999998,0.9999999999999999
SH_IHR_CAPS                        SPAR08 ,0.7136791021047099,,,,,,,,,,,,,,0.9683006310306368,0.26782783411485706,-0.2678278341148571,0.7136791021047099,,0.9683006310306366,-0.26782783411485706,1.0,0.9683006310306368,-0.2678278341148567,,-0.2678278341148567,-0.26782783411485694
SH_IHR_CAPS                        SPAR09 ,0.8660254037844388,,,,,,,,,,,,,,1.0000000000000002,0.5,-0.5000000000000001,0.8660254037844388,,0.9999999999999999,-0.5,0.9683006310306368,1.0,-0.49999999999999983,,-0.49999999999999983,-0.5
SH_IHR_CAPS                        SPAR10 ,-0.8660254037844386,,,,,,,,,,,,,,-0.49999999999999983,-0.9999999999999998,1.0,-0.8660254037844386,,-0.49999999999999967,0.9999999999999998,-0.2678278341148567,-0.49999999999999983,1.0,,1.0,1.0000000000000002
SH_IHR_CAPS                        SPAR11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH_IHR_CAPS                        SPAR12 ,-0.8660254037844386,,,,,,,,,,,,,,-0.49999999999999983,-0.9999999999999998,1.0,-0.8660254037844386,,-0.49999999999999967,0.9999999999999998,-0.2678278341148567,-0.49999999999999983,1.0,,1.0,1.0000000000000002
SH_IHR_CAPS                        SPAR13 ,-0.8660254037844386,,,,,,,,,,,,,,-0.5,-0.9999999999999999,1.0000000000000002,-0.8660254037844387,,-0.4999999999999998,0.9999999999999999,-0.26782783411485694,-0.5,1.0000000000000002,,1.0000000000000002,1.0
