,13.1.3,13.1.2,8.8.2,17.9.1,13.1.1,6.1.1,3.b.1,11.6.2,10.4.1,6.5.1,1.a.2,4.2.2,7.1.1,7.3.1,3.9.3,7.1.2,17.8.1,11.5.1,4.5.1,6.2.1,11.5.2,12.4.2,4.3.1,7.2.1,2.a.1,6.4.2,6.6.1,3.8.1,10.5.1,6.4.1,10.7.3,11.1.1,14.b.1,2.c.1,14.1.1,12.c.1,11.b.1,2.2.2,9.5.2,3.4.1,15.5.1,8.3.1,1.5.4,8.1.1,3.6.1,16.6.1,11.b.2,2.2.1,9.5.1,1.3.1,12.a.1,7.a.1,17.17.1,3.4.2,1.5.3,14.7.1,17.13.1,3.2.1,1.5.2,9.1.2,15.1.1,16.2.2,3.2.2,17.4.1,1.5.1,3.3.5,2.1.2,15.6.1,17.3.1,9.4.1,7.b.1,2.1.1,17.1.1,8.2.1,17.3.2,10.c.1,3.3.3,1.4.1,3.3.2,16.3.2,3.3.1,15.2.1
13.1.3,1,0.552003707,0.870952126,-0.10481746,0.721151947,-0.906910556,-0.887100121,-0.883605708,-0.782464457,0.920746378,-0.842385988,0.841447988,-0.922031031,0.901215627,-0.920746378,0.905319526,0.918706742,0.721151947,-0.064959352,-0.860786436,0.668811515,0.022595589,-0.914467861,-0.907717695,-0.94402633,0.923644307,-0.888938168,0.920746378,-0.459667635,-0.926578823,0.611843473,-0.947332057,0.920746378,-0.418462135,-0.84350853,0.908322519,0.552003707,0.89832356,-0.659111369,0.934820085,-0.933556267,-0.398804148,1,-0.06455104,-0.920746378,0.601242972,1,0.780172113,-0.840371681,0.934399297,0.900498571,-0.478352939,0.865200024,0.920746378,0.552003707,-0.926848475,0.93727822,-0.914747822,0.646176594,-0.943600477,-0.920745638,-0.915065058,0.920979336,-0.133160463,0.721151947,0.745700472,-0.946071597,0.913173048,-0.885034787,-0.960265476,0.900498571,0.872756713,-0.813012524,0.003805365,0.934599124,0.726428996,0.83002232,0.919747021,-0.496820372,0.920746378,-0.842928436,0.951847756
13.1.2,0.552003707,1,0.773903577,0.207841426,0.095110448,-0.728805022,-0.742855327,-0.734113282,-0.500209393,0.763959249,-0.633104364,0.763775254,-0.77183582,0.638687858,-0.763959249,0.769113485,0.780225215,0.095110448,-0.197674604,-0.668834058,0.341560189,-0.092529686,-0.756318985,-0.57313693,-0.711257193,0.704637604,-0.810453125,0.763959249,-0.911078112,-0.754158681,0.481028589,-0.739052288,0.763959249,-0.476841165,-0.681065764,0.784953668,1,0.714357272,-0.680494965,0.750367486,-0.753927562,-0.085143841,0.552003707,-0.249334898,-0.763959249,-0.102705315,0.552003707,0.17174234,-0.521305044,0.727482026,0.802464226,-0.444909581,0.431115594,0.763959249,1,-0.752365278,0.50152093,-0.761445495,0.093749193,-0.725387695,-0.763960861,-0.782917175,0.773459655,-0.112325429,0.095110448,0.803814765,-0.710100301,0.538012537,-0.749466359,-0.678919151,0.802464226,0.81301906,-0.664036121,-0.060889054,0.668274212,0.275469196,0.745785415,0.698567211,-0.356398215,0.763959249,-0.716843848,0.68206125
8.8.2,0.870952126,0.773903577,1,-0.123284961,0.604615575,-0.954885802,-0.966173339,-0.9468287,-0.797924011,0.986471475,-0.831661855,0.934350082,-0.927936746,0.780043003,-0.986471475,0.983643765,0.988773801,0.604615575,-0.257291245,-0.916962975,0.687967658,-0.276428914,-0.945298017,-0.822489995,-0.899367513,0.917675456,-0.972100238,0.986471475,-0.650279538,-0.984346862,0.360459404,-0.958643222,0.986471475,-0.444103472,-0.802395538,0.984745764,0.773903577,0.928909136,-0.862564321,0.972764298,-0.98249119,-0.452496284,0.870952126,0.050363984,-0.986471475,0.471568177,0.870952126,0.668085311,-0.83311484,0.969549815,0.938367618,-0.634204876,0.75775421,0.986471475,0.773903577,-0.980672837,0.885094953,-0.98589461,0.510179861,-0.924372473,-0.986471475,-0.932976318,0.986945781,-0.055242638,0.604615575,0.92613914,-0.967407052,0.901871542,-0.844331043,-0.907667704,0.938367618,0.981070458,-0.80188932,0.079331656,0.932813801,0.670989606,0.895862287,0.97111122,-0.548432651,0.986471475,-0.954697181,0.914351707
17.9.1,-0.10481746,0.207841426,-0.123284961,1,-0.011746878,0.20952439,0.174949996,0.08271656,0.225839595,-0.070635092,0.223533145,0.108595401,0.011357245,-0.145386862,0.070635092,-0.022229574,-0.050933255,-0.011746878,-0.03706326,0.161449432,0.267924984,0.111398265,0.052869356,0.317377831,0.107156296,-0.230767719,0.064934233,-0.070635092,-0.033649968,0.101756235,0.187704817,0.15597837,-0.070635092,-0.519264774,0.078159379,-0.039217079,0.207841426,0.074354582,-0.099547774,0.004030853,0.112355646,0.638872873,-0.10481746,-0.366415479,0.070635092,-0.240710041,-0.10481746,-0.061976457,0.409999154,0.006747045,-0.010609006,0.372298796,-0.0110978,-0.070635092,0.207841426,0.089186112,-0.140023968,0.09537852,0.222303823,0.052643026,0.070632135,0.092904634,-0.059456762,-0.298237289,-0.011746878,0.181610345,0.141721389,-0.171594028,-0.222398901,0.167198935,-0.010609006,0.012830565,0.091779026,-0.163868278,0.06131221,-0.610491697,0.142727909,-0.209619316,0.438990864,-0.070635092,0.085528185,-0.021315589
13.1.1,0.721151947,0.095110448,0.604615575,-0.011746878,1,-0.532813626,-0.599903331,-0.599608614,-0.525010736,0.612724107,-0.562699654,0.608199719,-0.576942344,0.487322187,-0.612724107,0.613892326,0.611411727,1,-0.120794435,-0.614385312,0.900184418,-0.088495136,-0.597777598,-0.545497502,-0.588052163,0.583708626,-0.536925714,0.612724107,0.05819394,-0.612374456,0.070979345,-0.591947819,0.612724107,-0.245485653,-0.460991482,0.608596482,0.095110448,0.67052763,-0.503068511,0.648282366,-0.60710921,-0.262790887,0.721151947,0.028594705,-0.612724107,0.940687859,0.721151947,0.789351059,-0.512380183,0.652446893,0.595614795,-0.277898194,0.875393934,0.612724107,0.095110448,-0.615900446,0.852030369,-0.612776021,0.949031336,-0.596586041,-0.612723653,-0.507390203,0.613431812,-0.128207065,1,0.558642172,-0.601813237,0.648903848,-0.551832487,-0.587815921,0.595614795,0.615121707,-0.52632805,0.020158048,0.69051399,0.385801033,0.536443413,0.598454415,-0.323862163,0.612724107,-0.601204281,0.60574189
6.1.1,-0.906910556,-0.728805022,-0.954885802,0.20952439,-0.532813626,1,0.961266206,0.958146329,0.855695872,-0.969087424,0.847402477,-0.867892895,0.893998175,-0.874380856,0.969087424,-0.959136297,-0.966488448,-0.532813626,0.078717131,0.944276466,-0.58082472,0.197566655,0.966125479,0.875693255,0.902192385,-0.914024646,0.958165732,-0.969087424,0.68493548,0.973302959,-0.519756937,0.97458452,-0.969087424,0.445429948,0.890360619,-0.967617523,-0.728805022,-0.909010243,0.740860723,-0.948999639,0.97750923,0.536191699,-0.906910556,-0.013480071,0.969087424,-0.393288947,-0.906910556,-0.621611529,0.921504117,-0.948700734,-0.931006442,0.53187225,-0.724956475,-0.969087424,-0.728805022,0.966828528,-0.875692292,0.969099246,-0.453081536,0.947470703,0.969087086,0.966109152,-0.96872532,0.148899161,-0.532813626,-0.822332041,0.975246316,-0.902714673,0.808832463,0.939528384,-0.931006442,-0.940919836,0.728629801,0.029849256,-0.904503558,-0.729599583,-0.89099812,-0.963454345,0.654598076,-0.969087424,0.932540055,-0.933412803
3.b.1,-0.887100121,-0.742855327,-0.966173339,0.174949996,-0.599903331,0.961266206,1,0.935095438,0.861524041,-0.974931124,0.897164835,-0.901698863,0.89305189,-0.828242799,0.974931124,-0.962501928,-0.968609902,-0.599903331,0.246372032,0.968690547,-0.622731259,0.260200635,0.935229826,0.892895264,0.936798338,-0.930557447,0.981956052,-0.974931124,0.709670539,0.9800358,-0.478066574,0.972491648,-0.974931124,0.30966318,0.85936496,-0.978225165,-0.742855327,-0.870200618,0.790466178,-0.933872172,0.978606662,0.570734963,-0.887100121,-0.030032378,0.974931124,-0.48617148,-0.887100121,-0.57126634,0.920042932,-0.939282089,-0.970124168,0.664258813,-0.75922482,-0.974931124,-0.742855327,0.975400331,-0.902636946,0.985744961,-0.482831196,0.968842399,0.974931193,0.973346101,-0.974653263,0.102525917,-0.599903331,-0.821756645,0.961091038,-0.834443941,0.783879421,0.949064697,-0.970124168,-0.967684512,0.763893836,-0.109191641,-0.873148634,-0.631099122,-0.816458522,-0.935170926,0.712504575,-0.974931124,0.967304891,-0.930472281
11.6.2,-0.883605708,-0.734113282,-0.9468287,0.08271656,-0.599608614,0.958146329,0.935095438,1,0.873745027,-0.958082296,0.894437812,-0.93626692,0.868782852,-0.792680446,0.958082296,-0.96527117,-0.956447853,-0.599608614,-0.028252105,0.956596867,-0.694552435,0.140696001,0.990846687,0.859836283,0.885843723,-0.9060445,0.944148756,-0.958082296,0.619028931,0.959071427,-0.427534015,0.926262963,-0.958082296,0.439734355,0.932907891,-0.951113083,-0.734113282,-0.909242311,0.707885501,-0.952282921,0.951360334,0.442546083,-0.883605708,-0.051527171,0.958082296,-0.409709104,-0.883605708,-0.622444171,0.840701638,-0.947676177,-0.91706242,0.424378956,-0.78373625,-0.958082296,-0.734113282,0.965140273,-0.863915563,0.954814044,-0.561867982,0.921803922,0.95808223,0.925434729,-0.960003039,0.355647931,-0.599608614,-0.865965903,0.94983529,-0.869536632,0.841039002,0.913570414,-0.91706242,-0.964057827,0.769270058,0.171729285,-0.911629208,-0.655879467,-0.884980312,-0.957318282,0.547754393,-0.958082296,0.946791522,-0.927405777
10.4.1,-0.782464457,-0.500209393,-0.797924011,0.225839595,-0.525010736,0.855695872,0.861524041,0.873745027,1,-0.843272075,0.857547151,-0.829747058,0.647509647,-0.613923964,0.843272075,-0.848773811,-0.813214538,-0.525010736,0.056232955,0.937373526,-0.518132699,0.364517247,0.827353136,0.846561705,0.791229523,-0.76523011,0.853540923,-0.843272075,0.496328392,0.853356731,-0.428226059,0.798859635,-0.843272075,0.158106307,0.873294052,-0.820829499,-0.500209393,-0.665071821,0.620152662,-0.778472598,0.834802094,0.761081516,-0.782464457,-0.399856692,0.843272075,-0.399251571,-0.782464457,-0.540531619,0.911323139,-0.818418018,-0.764665179,0.512887725,-0.567122416,-0.843272075,-0.500209393,0.863228372,-0.736425166,0.853387984,-0.42642023,0.862125157,0.843271498,0.8480527,-0.833463383,0.395509712,-0.525010736,-0.619893574,0.862116538,-0.753720583,0.603127185,0.850979824,-0.764665179,-0.811457439,0.560767847,-0.064880226,-0.738255975,-0.655609796,-0.65460037,-0.827791027,0.667935378,-0.843272075,0.921633829,-0.88248644
6.5.1,0.920746378,0.763959249,0.986471475,-0.070635092,0.612724107,-0.969087424,-0.974931124,-0.958082296,-0.843272075,1,-0.859483484,0.950357271,-0.940965816,0.823201729,-1,0.996822663,0.998244325,0.612724107,-0.2260907,-0.938699851,0.67962022,-0.235053889,-0.962379013,-0.866759874,-0.938847134,0.930260509,-0.990017227,1,-0.655841166,-0.999163869,0.486759157,-0.97849211,1,-0.45963856,-0.854586569,0.996034242,0.763959249,0.932990361,-0.843670379,0.986104842,-0.997402853,-0.466354777,0.920746378,0.041079297,-1,0.463639546,0.920746378,0.685360535,-0.86555373,0.990333646,0.957977327,-0.611547768,0.768450635,1,0.763959249,-0.997669049,0.897863685,-0.998343653,0.529018415,-0.969909522,-1,-0.969495461,0.99959331,-0.116263965,0.612724107,0.900586735,-0.99091042,0.913962286,-0.880515542,-0.951270151,0.957977327,0.983517664,-0.804917979,0.079037572,0.953587973,0.673537836,0.903807379,0.973396462,-0.559016994,1,-0.967150363,0.966764621
1.a.2,-0.842385988,-0.633104364,-0.831661855,0.223533145,-0.562699654,0.847402477,0.897164835,0.894437812,0.857547151,-0.859483484,1,-0.852173895,0.798822007,-0.76279886,0.859483484,-0.848318673,-0.847153381,-0.562699654,-0.009736348,0.915114844,-0.517319271,-0.02472062,0.883984113,0.963004175,0.926370608,-0.937277264,0.881944322,-0.859483484,0.59398963,0.874377585,-0.482991088,0.865722225,-0.859483484,0.046550086,0.923622873,-0.84160873,-0.633104364,-0.713233664,0.521816401,-0.819977936,0.863123482,0.515711005,-0.842385988,-0.073749033,0.859483484,-0.454934501,-0.842385988,-0.457019361,0.838385095,-0.815998893,-0.879445619,0.536216379,-0.772086471,-0.859483484,-0.633104364,0.888804905,-0.806428513,0.872910704,-0.449728668,0.893782047,0.85948301,0.884729123,-0.860682105,0.34488126,-0.562699654,-0.649629253,0.86500431,-0.700429277,0.736886931,0.928830662,-0.879445619,-0.864573289,0.837945774,0.073518788,-0.747622649,-0.631081164,-0.62333445,-0.864161232,0.60724811,-0.859483484,0.867219203,-0.87137
4.2.2,0.841447988,0.763775254,0.934350082,0.108595401,0.608199719,-0.867892895,-0.901698863,-0.93626692,-0.829747058,0.950357271,-0.852173895,1,-0.878077784,0.665864976,-0.950357271,0.966596473,0.946636416,0.608199719,-0.211211101,-0.893431957,0.730850354,-0.230236801,-0.91964207,-0.801870207,-0.887504202,0.868323776,-0.946926357,0.950357271,-0.579270008,-0.944411275,0.396397821,-0.87949984,0.950357271,-0.432102504,-0.832695115,0.937484518,0.763775254,0.869649058,-0.829659074,0.943823664,-0.928256358,-0.360055357,0.841447988,0.136968925,-0.950357271,0.416703689,0.841447988,0.655870507,-0.732323211,0.952677712,0.89323367,-0.546957805,0.733915892,0.950357271,0.763775254,-0.956865481,0.807970516,-0.9448076,0.559565591,-0.908507,-0.95035765,-0.891603279,0.950100816,-0.274575194,0.608199719,0.9162109,-0.926532083,0.837895164,-0.887126194,-0.883849664,0.89323367,0.96173255,-0.815744067,0.041794992,0.920354457,0.560071501,0.849619182,0.917542634,-0.387630156,0.950357271,-0.950478031,0.934742588
7.1.1,-0.922031031,-0.77183582,-0.927936746,0.011357245,-0.576942344,0.893998175,0.89305189,0.868782852,0.647509647,-0.940965816,0.798822007,-0.878077784,1,-0.879164329,0.940965816,-0.926671892,-0.953299269,-0.576942344,0.217596754,0.799823806,-0.620974775,-0.017935703,0.910157387,0.83756331,0.945201956,-0.943997719,0.924450292,-0.940965816,0.625710905,0.939243606,-0.550227197,0.956834592,-0.940965816,0.493563585,0.770506519,-0.937884826,-0.77183582,-0.931552962,0.771399108,-0.961956289,0.94865667,0.223856075,-0.922031031,0.184982991,0.940965816,-0.447943283,-0.922031031,-0.684510617,0.731822504,-0.942499861,-0.935750784,0.574786617,-0.808757474,-0.940965816,-0.77183582,0.936383651,-0.868247999,0.932133102,-0.502200397,0.917233937,0.940965723,0.91782593,-0.945894633,-0.027756195,-0.576942344,-0.873772374,0.93651631,-0.881958707,0.951109047,0.925556577,-0.935750784,-0.92051136,0.904370537,-0.052034423,-0.940844094,-0.654854153,-0.878679302,-0.930700848,0.389870595,-0.940965816,0.831233185,-0.90874205
7.3.1,0.901215627,0.638687858,0.780043003,-0.145386862,0.487322187,-0.874380856,-0.828242799,-0.792680446,-0.613923964,0.823201729,-0.76279886,0.665864976,-0.879164329,1,-0.823201729,0.790403177,0.833278342,0.487322187,0.053156296,-0.77347967,0.44962737,0.201286675,-0.859642213,-0.843535403,-0.879724625,0.874883841,-0.81354486,0.823201729,-0.652965292,-0.832612158,0.734032643,-0.913649597,0.823201729,-0.421656076,-0.81620652,0.835237648,0.638687858,0.838818858,-0.493673457,0.835224216,-0.855943282,-0.284168159,0.901215627,-0.38620754,-0.823201729,0.377810163,0.901215627,0.509123894,-0.796903467,0.809508091,0.888560578,-0.370677014,0.777853446,0.823201729,0.638687858,-0.820410281,0.840149394,-0.822475521,0.435760964,-0.874449332,-0.823201425,-0.888263359,0.830769378,-0.059836359,0.487322187,0.62987204,-0.84270438,0.758986435,-0.79801011,-0.889975745,0.888560578,0.789753675,-0.725455999,-0.142138696,0.795382876,0.606917722,0.774765828,0.811609536,-0.594202184,0.823201729,-0.702499086,0.822348609
3.9.3,-0.920746378,-0.763959249,-0.986471475,0.070635092,-0.612724107,0.969087424,0.974931124,0.958082296,0.843272075,-1,0.859483484,-0.950357271,0.940965816,-0.823201729,1,-0.996822663,-0.998244325,-0.612724107,0.2260907,0.938699851,-0.67962022,0.235053889,0.962379013,0.866759874,0.938847134,-0.930260509,0.990017227,-1,0.655841166,0.999163869,-0.486759157,0.97849211,-1,0.45963856,0.854586569,-0.996034242,-0.763959249,-0.932990361,0.843670379,-0.986104842,0.997402853,0.466354777,-0.920746378,-0.041079297,1,-0.463639546,-0.920746378,-0.685360535,0.86555373,-0.990333646,-0.957977327,0.611547768,-0.768450635,-1,-0.763959249,0.997669049,-0.897863685,0.998343653,-0.529018415,0.969909522,1,0.969495461,-0.99959331,0.116263965,-0.612724107,-0.900586735,0.99091042,-0.913962286,0.880515542,0.951270151,-0.957977327,-0.983517664,0.804917979,-0.079037572,-0.953587973,-0.673537836,-0.903807379,-0.973396462,0.559016994,-1,0.967150363,-0.966764621
7.1.2,0.905319526,0.769113485,0.983643765,-0.022229574,0.613892326,-0.959136297,-0.962501928,-0.96527117,-0.848773811,0.996822663,-0.848318673,0.966596473,-0.926671892,0.790403177,-0.996822663,1,0.99506346,0.613892326,-0.210780087,-0.937015512,0.706620365,-0.255029344,-0.963927608,-0.84225847,-0.919734506,0.909713612,-0.984969435,0.996822663,-0.641617871,-0.99377372,0.461653233,-0.960580549,0.996822663,-0.489468347,-0.855403547,0.992202645,0.769113485,0.935148031,-0.852796377,0.986493076,-0.988952829,-0.445890015,0.905319526,0.065152299,-0.996822663,0.446273989,0.905319526,0.690096546,-0.841867442,0.992417147,0.945342236,-0.579085345,0.758798865,0.996822663,0.769113485,-0.994499118,0.882646332,-0.993048962,0.546542692,-0.958473715,-0.996822785,-0.955966425,0.996385699,-0.163970748,0.613892326,0.919642141,-0.983556266,0.911101159,-0.884574455,-0.933414058,0.945342236,0.986704663,-0.790686128,0.053730018,0.958299815,0.649794643,0.915517476,0.968064397,-0.525527918,0.996822663,-0.97259112,0.964154773
17.8.1,0.918706742,0.780225215,0.988773801,-0.050933255,0.611411727,-0.966488448,-0.968609902,-0.956447853,-0.813214538,0.998244325,-0.847153381,0.946636416,-0.953299269,0.833278342,-0.998244325,0.99506346,1,0.611411727,-0.216955927,-0.925312675,0.689487556,-0.207377499,-0.965784045,-0.852928153,-0.935006487,0.931126901,-0.985424898,0.998244325,-0.66177575,-0.996226844,0.481851139,-0.979178809,0.998244325,-0.489893376,-0.84594389,0.996646616,0.780225215,0.948561121,-0.843450617,0.991604407,-0.996122475,-0.420952616,0.918706742,-0.00427006,-0.998244325,0.457421813,0.918706742,0.685052202,-0.84412717,0.990656561,0.961690279,-0.592862821,0.781001892,0.998244325,0.780225215,-0.993894231,0.899562009,-0.99499955,0.536238048,-0.962373477,-0.998244396,-0.964206612,0.999226674,-0.104086764,0.611411727,0.9160191,-0.98598912,0.914049501,-0.894988184,-0.943468746,0.961690279,0.985956183,-0.814633579,0.053677508,0.959883219,0.661658279,0.918663773,0.972702539,-0.537587716,0.998244325,-0.954450491,0.956975173
11.5.1,0.721151947,0.095110448,0.604615575,-0.011746878,1,-0.532813626,-0.599903331,-0.599608614,-0.525010736,0.612724107,-0.562699654,0.608199719,-0.576942344,0.487322187,-0.612724107,0.613892326,0.611411727,1,-0.120794435,-0.614385312,0.900184418,-0.088495136,-0.597777598,-0.545497502,-0.588052163,0.583708626,-0.536925714,0.612724107,0.05819394,-0.612374456,0.070979345,-0.591947819,0.612724107,-0.245485653,-0.460991482,0.608596482,0.095110448,0.67052763,-0.503068511,0.648282366,-0.60710921,-0.262790887,0.721151947,0.028594705,-0.612724107,0.940687859,0.721151947,0.789351059,-0.512380183,0.652446893,0.595614795,-0.277898194,0.875393934,0.612724107,0.095110448,-0.615900446,0.852030369,-0.612776021,0.949031336,-0.596586041,-0.612723653,-0.507390203,0.613431812,-0.128207065,1,0.558642172,-0.601813237,0.648903848,-0.551832487,-0.587815921,0.595614795,0.615121707,-0.52632805,0.020158048,0.69051399,0.385801033,0.536443413,0.598454415,-0.323862163,0.612724107,-0.601204281,0.60574189
4.5.1,-0.064959352,-0.197674604,-0.257291245,-0.03706326,-0.120794435,0.078717131,0.246372032,-0.028252105,0.056232955,-0.2260907,-0.009736348,-0.211211101,0.217596754,0.053156296,0.2260907,-0.210780087,-0.216955927,-0.120794435,1,0.085262156,-0.100082785,0.624573308,-0.037688254,0.029019036,0.184529111,-0.104605404,0.254559295,-0.2260907,0.182993278,0.216326024,0.060042125,0.186238317,-0.2260907,-0.037220517,-0.221270266,-0.235491641,-0.197674604,-0.089836603,0.626309988,-0.161392467,0.215245479,0.246866097,-0.064959352,-0.227089519,0.2260907,-0.238221467,-0.064959352,-0.180597787,0.136010336,-0.204854647,-0.191148399,0.775640173,0.04966267,-0.2260907,-0.197674604,0.198434103,-0.143187334,0.242273336,0.061645526,0.195019962,0.22609147,0.179662977,-0.215518277,-0.690148999,-0.120794435,-0.258740773,0.18469139,-0.145474791,0.089374357,0.13047239,-0.191148399,-0.197391849,0.131968761,-0.916774165,-0.159183587,-0.0055749,-0.074059194,-0.118506547,0.134079071,-0.2260907,0.249671273,-0.163475545
6.2.1,-0.860786436,-0.668834058,-0.916962975,0.161449432,-0.614385312,0.944276466,0.968690547,0.956596867,0.937373526,-0.938699851,0.915114844,-0.893431957,0.799823806,-0.77347967,0.938699851,-0.937015512,-0.925312675,-0.614385312,0.085262156,1,-0.646151599,0.268414052,0.938139859,0.883538876,0.885723493,-0.877947961,0.944619018,-0.938699851,0.64890434,0.945379362,-0.45585406,0.918510398,-0.938699851,0.280993587,0.919193628,-0.938349867,-0.668834058,-0.82665288,0.700584966,-0.893245114,0.936196152,0.626499179,-0.860786436,-0.1165273,0.938699851,-0.467981542,-0.860786436,-0.541062876,0.929475132,-0.906666925,-0.92355622,0.530578471,-0.743552637,-0.938699851,-0.668834058,0.947192197,-0.87549933,0.950081337,-0.530465339,0.943569012,0.938699901,0.940232284,-0.937255569,0.318082731,-0.614385312,-0.765895708,0.928956046,-0.796665934,0.723489178,0.919108827,-0.92355622,-0.940410586,0.678363611,0.021883677,-0.83406903,-0.599598206,-0.783811337,-0.902584872,0.737600943,-0.938699851,0.971862632,-0.918858219
