Indicator,Goal,Target,degree,btwn,eigen.vector,eigen.value
1.3.1,1,1.3,39,1.300700767942147,0.9861031128909206,37.50648422585457
1.4.1,1,1.4,39,1.300700767942147,0.9861031128909202,37.50648422585457
1.5.1,1,1.5,35,1.7290209790209794,0.8894746772103919,37.50648422585457
1.5.2,1,1.5,34,1.615384615384616,0.8643082108644778,37.50648422585457
1.5.3,1,1.5,31,0,0.8036328999006637,37.50648422585457
1.5.4,1,1.5,41,8.21370443094581,1,37.50648422585457
1.a.2,1,1.a,32,4.557313949869668,0,37.50648422585457
10.4.1,10,10.4,31,4.259266184430598,0,37.50648422585457
10.5.1,10,10.5,28,0.4163820912980577,0,37.50648422585457
10.7.3,10,10.7,8,0,0.2085052976088909,37.50648422585457
10.c.1,10,10.c,29,0,0.7598628536488123,37.50648422585457
11.1.1,11,11.1,31,0.9391904067461245,0,37.50648422585457
11.5.1,11,11.5,35,1.7290209790209794,0.8894746772103922,37.50648422585457
11.5.2,11,11.5,35,1.7290209790209794,0.8894746772103922,37.50648422585457
11.6.2,11,11.6,30,0.5291334140493804,0,37.50648422585457
11.b.1,11,11.b,31,0,0.8036328999006637,37.50648422585457
11.b.2,11,11.b,41,8.21370443094581,0.9999999999999993,37.50648422585457
12.4.2,12,12.4,3,1.2575876504447931,0,37.50648422585457
12.a.1,12,12.a,40,5.413796006037385,0.9915179229365723,37.50648422585457
12.c.1,12,12.c,39,1.300700767942147,0.9861031128909202,37.50648422585457
13.1.1,13,13.1,35,1.7290209790209794,0.8894746772103915,37.50648422585457
13.1.2,13,13.1,31,0,0.8036328999006632,37.50648422585457
13.1.3,13,13.1,41,8.21370443094581,0.9999999999999994,37.50648422585457
14.1.1,14,14.1,30,72.20928224281165,0,37.50648422585457
14.7.1,14,14.7,31,0.9391904067461245,0,37.50648422585457
14.b.1,14,14.b,39,1.300700767942147,0.9861031128909203,37.50648422585457
15.1.1,15,15.1,31,0.9391904067461245,0,37.50648422585457
15.2.1,15,15.2,40,5.413796006037385,0.9915179229365719,37.50648422585457
15.5.1,15,15.5,31,0.9391904067461245,0,37.50648422585457
15.6.1,15,15.6,40,3.767275859517237,0.9945851899543479,37.50648422585457
16.2.2,16,16.2,32,4.557313949869668,0,37.50648422585457
16.3.2,16,16.3,39,1.300700767942147,0.9861031128909197,37.50648422585457
16.6.1,16,16.6,13,0,0.3266149666453513,37.50648422585457
17.1.1,17,17.1,29,0.5425274725274725,0,37.50648422585457
17.13.1,17,17.13,40,3.767275859517237,0.9945851899543474,37.50648422585457
17.17.1,17,17.17,36,2.021837070975002,0.9122416154344539,37.50648422585457
17.3.1,17,17.3,30,18.23905707582178,0,37.50648422585457
17.3.2,17,17.3,40,3.767275859517237,0.9945851899543475,37.50648422585457
17.4.1,17,17.4,2,37,0,37.50648422585457
17.8.1,17,17.8,39,1.300700767942147,0.9861031128909197,37.50648422585457
17.9.1,17,17.9,1,0,0,37.50648422585457
2.1.1,2,2.1,39,1.300700767942147,0.9861031128909211,37.50648422585457
2.1.2,2,2.1,32,4.557313949869668,0,37.50648422585457
2.2.1,2,2.2,37,2.413553910967703,0.9319749894083516,37.50648422585457
2.2.2,2,2.2,39,1.300700767942147,0.9861031128909203,37.50648422585457
2.a.1,2,2.a,31,0.9391904067461245,0,37.50648422585457
2.c.1,2,2.c,2,0,0,37.50648422585457
3.2.1,3,3.2,31,0.9391904067461245,0,37.50648422585457
3.2.2,3,3.2,39,1.300700767942147,0.9861031128909202,37.50648422585457
3.3.1,3,3.3,32,4.557313949869668,0,37.50648422585457
3.3.2,3,3.3,27,2.8181734931734934,0,37.50648422585457
3.3.3,3,3.3,39,1.300700767942147,0.9861031128909211,37.50648422585457
3.3.5,3,3.3,38,0.9446982136637307,0.9663697389170219,37.50648422585457
3.4.1,3,3.4,39,1.300700767942147,0.9861031128909206,37.50648422585457
3.4.2,3,3.4,39,1.300700767942147,0.9861031128909202,37.50648422585457
3.6.1,3,3.6,31,0.9391904067461245,0,37.50648422585457
3.8.1,3,3.8,39,1.300700767942147,0.9861031128909206,37.50648422585457
3.9.3,3,3.9,31,0.9391904067461245,0,37.50648422585457
3.b.1,3,3.b,32,4.557313949869668,0,37.50648422585457
4.2.2,4,4.2,39,1.300700767942147,0.9861031128909206,37.50648422585457
4.3.1,4,4.3,30,0.5291334140493804,0,37.50648422585457
4.5.1,4,4.5,3,0.3333333333333333,0,37.50648422585457
6.1.1,6,6.1,32,4.557313949869668,0,37.50648422585457
6.2.1,6,6.2,32,4.557313949869668,0,37.50648422585457
6.4.1,6,6.4,31,0.9391904067461245,0,37.50648422585457
6.4.2,6,6.4,39,5.0341954022988515,0.9690721393694461,37.50648422585457
6.5.1,6,6.5,39,1.300700767942147,0.98610311289092,37.50648422585457
6.6.1,6,6.6,31,0.9391904067461245,0,37.50648422585457
7.1.1,7,7.1,30,0.6587570561483604,0,37.50648422585457
7.1.2,7,7.1,39,1.300700767942147,0.9861031128909207,37.50648422585457
7.2.1,7,7.2,32,4.557313949869668,0,37.50648422585457
7.3.1,7,7.3,35,3.758004926108375,0.8766747475958114,37.50648422585457
7.a.1,7,7.a,27,17.116823652537928,0,37.50648422585457
7.b.1,7,7.b,40,5.413796006037385,0.9915179229365723,37.50648422585457
8.2.1,8,8.2,1,0,0,37.50648422585457
8.3.1,8,8.3,15,44.81762792073351,0,37.50648422585457
8.8.2,8,8.8,39,1.300700767942147,0.9861031128909206,37.50648422585457
9.1.2,9,9.1,31,0.9391904067461245,0,37.50648422585457
9.4.1,9,9.4,32,4.557313949869668,0,37.50648422585457
9.5.1,9,9.5,32,4.557313949869668,0,37.50648422585457
9.5.2,9,9.5,32,61.368681025736194,0,37.50648422585457
